instance_id,instance_size,algorithm_id,tour_length,runtime
30,7,6,2291.720291194914,5.434999999124557
31,7,0,2056.0710224943755,0.33999999868683517
31,7,1,2056.0710224943728,0.3099999994446989
31,7,2,2076.578466181892,0.13000000035390258
31,7,3,2231.153373539267,0.08499999967170879
31,7,4,2099.8384795739735,0.6800000010116491
31,7,5,2056.0710224943755,2.6099999995494727
31,7,6,2056.0710224943755,45.82500000105938
32,7,0,2736.3092243040564,0.42499999835854396
32,7,1,2736.309224304029,0.39000000106170774
32,7,2,2736.3092243040564,0.1249999986612238
32,7,3,3306.510605948486,0.08000000161700882
32,7,4,2746.2058570413865,1.4400000000023283
32,7,5,2736.309224304057,2.759999999398133
32,7,6,2736.309224304057,76.43000000098255
33,7,0,2275.553763058897,0.29999999969732016
33,7,1,2275.5537630588915,0.2749999985098839
33,7,2,2361.8613991505954,0.12000000060652383
33,7,3,2536.4780367812064,0.07000000186963007
33,7,4,2449.4348443983426,1.2500000011641532
33,7,5,2275.553763058897,2.5549999991199
33,7,6,2275.553763058897,2.599999999802094
34,7,0,2970.398527234232,0.29999999969732016
34,7,1,2970.3985272342316,0.26500000240048394
34,7,2,3184.6089903863744,0.11500000255182385
34,7,3,3583.300213472893,0.07499999992433004
34,7,4,3328.609617988478,0.9250000002793968
34,7,5,2970.398527234232,2.720000000408618
34,7,6,2970.398527234232,46.1299999988114
35,7,0,2234.414607303015,0.420000000303844
35,7,1,2234.4146073030106,0.32500000088475645
35,7,2,2457.371953235996,0.14000000010128133
35,7,3,2646.3768344527684,0.08999999772640876
35,7,4,2386.1467503685303,0.7550000009359792
35,7,5,2234.414607303015,3.6050000016984995
35,7,6,2234.414607303015,10.829999999259599
36,7,0,1765.9433531137154,0.30500000138999894
36,7,1,1765.9433531137174,0.24500000290572643
36,7,2,1765.9433531137156,0.14000000010128133
36,7,3,2052.2010548119342,0.08000000161700882
36,7,4,2009.2764015441164,0.6949999988137279
36,7,5,1765.9433531137156,2.714999998715939
36,7,6,1765.9433531137156,38.0250000016531
37,7,0,2035.5754185251476,0.29999999969732016
37,7,1,2035.575418525148,0.3150000011373777
37,7,2,2035.9405847883277,0.1250000022992026
