instance_id,instance_size,min_span_tree_weight,algorithm_id,tour_length,runtime
128,6,1714.3232077764071,2,2279.168319289289,0.059999991208314896
136,6,1249.4125520029336,2,2302.665609359235,0.059999991208314896
137,6,1017.8575657436363,2,1631.3755522404508,0.059999991208314896
138,6,1662.6518947070176,2,2414.410521397244,0.059999991208314896
140,6,1778.0970105317167,0,2588.6406552541953,0.059999991208314896
141,6,1789.950292093806,2,2555.7394275612664,0.059999991208314896
143,6,954.4848007627374,2,1651.0657364765998,0.059999991208314896
145,6,1340.864243419527,2,2133.175175014171,0.059999991208314896
100,6,1859.5583032986785,2,2958.829676744354,0.0550001859664917
101,6,927.5272883353816,2,1668.2330328790567,0.0550001859664917
106,6,1654.6631381805107,2,2211.6873746370584,0.0550001859664917
107,6,1560.4376863426407,2,2593.4765308537594,0.0550001859664917
114,6,1604.4828056312322,2,2161.0244828395607,0.0550001859664917
119,6,2159.622884786166,2,3317.02228279845,0.0550001859664917
120,6,1554.9766686566595,2,2724.284133238551,0.0550001859664917
127,6,1532.2312521672497,2,2458.9013595519114,0.0550001859664917
131,6,1560.4092556311618,2,2318.5837570735976,0.0550001859664917
135,6,1369.2907639030846,2,2110.8681368049283,0.0550001859664917
146,6,1915.0179651898738,2,3429.2091408090937,0.0550001859664917
147,6,1426.7540768145145,2,2410.1961544626215,0.0550001859664917
105,6,1456.9378634344548,2,2278.118797618011,0.05499972030520439
130,6,2174.8787760123178,2,3220.467662112264,0.05499972030520439
101,6,927.5272883353816,1,1668.2330328790563,0.0500003807246685
139,6,1050.0205283910127,0,1863.615331350612,0.049999915063381195
142,6,1223.5430915897966,2,2155.3467189705875,0.049999915063381195
104,6,1213.876528670971,3,2102.2958676594153,0.045000109821558
118,6,1229.2437905291167,3,2249.4943251648674,0.045000109821558
122,6,1174.604666384986,1,1863.2123047877058,0.045000109821558
148,6,1640.7588303060943,0,2440.5301816870647,0.045000109821558
108,6,1405.4763704564978,3,2546.1691084127087,0.0400003045797348
111,6,1273.9065701080567,3,2169.527623734894,0.0400003045797348
112,6,1582.6643857645358,1,2396.4916456074193,0.0400003045797348
116,6,1305.094030254039,3,2209.7553414463746,0.0400003045797348
121,6,1481.1126444130568,1,2593.545889874284,0.0400003045797348
123,6,1598.3832133569906,1,2376.0216505620365,0.0400003045797348
148,6,1640.7588303060943,1,2440.5301816870647,0.0400003045797348
102,6,1353.1700045235325,1,2447.8009925738415,0.039999838918447495
103,6,1496.6154953995988,1,2685.272300368973,0.039999838918447495
103,6,1496.6154953995988,3,2685.2723003689725,0.039999838918447495
106,6,1654.6631381805107,3,2706.243465012727,0.039999838918447495
115,6,1858.4780981839722,3,2970.7183401340485,0.039999838918447495
